id,name,created_at,updated_at
1,Cédula de ciudadanía,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
2,Pasaporte,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
3,Cédula de extranjería,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
4,Tarjeta de identidad,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
5,Registro Civil,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
6,Permiso especial de permanencia,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
7,Permiso Protección Temporal,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
8,NIT,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
9,Nuip,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
10,Ise,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
11,Visa,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
12,Carné Diplomático,Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:41:38 GMT-0500 (Colombia Standard Time)
