id,name,created_at,updated_at
1,Agropecuario,Tue Feb 04 2025 20:47:50 GMT-0500 (Colombia Standard Time),Mon Mar 31 2025 15:13:12 GMT-0500 (Colombia Standard Time)
3,Construcción,Tue Feb 04 2025 20:47:50 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:47:50 GMT-0500 (Colombia Standard Time)
4,Industrial,Tue Feb 04 2025 20:47:50 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:47:50 GMT-0500 (Colombia Standard Time)
5,Financiero,Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time)
6,Servicios,Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time)
7,Comercio,Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time)
8,Agroindustria,Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time),Wed Apr 02 2025 14:53:13 GMT-0500 (Colombia Standard Time)
9,Comunicaciones,Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time)
10,Turismo,Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time)
11,Minero energético,Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:47:51 GMT-0500 (Colombia Standard Time)
