id,name,created_at,updated_at
1,Gerente general o líder del proyecto (CEO),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
2,Gerente/Jefe/líder/Coordinador Financiero (CFO),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
3,Gerente/Jefe/líder/Coordinador de operación (COO),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
4,Gerente/Jefe/Líder/Coordinador de tecnología (CTO),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
5,Gerente/Jefe/Líder/Coordinador - Director creativo,Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
6,Gerente/Jefe/Líder/Coordinador de desarrollo de productos,Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
7,Gerente/Jefe/Líder/Coordinador comercial de ventas,Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
8,Gerente/Jefe/Líder/Coordinador de recursos humanos,Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
9,Gerente/Jefe/Líder/Coordinador servicios administrativos,Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
10,Gerente/Jefe/Líder/Coordinador logística,Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
11,Gerente/Jefe/Líder/Coordinador otras áreas,Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time),Tue Feb 04 2025 20:50:51 GMT-0500 (Colombia Standard Time)
