id,name,level_id,created_at,updated_at
23,Afinación del modelo de negocio.,1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
24,Modelo de negocio / Visión estratégica,1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
25,Análisis Ciclo de vida del producto estrategias de sostenibilidad y definición de indicadores de Impacto,1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
26,Diseño para la sofisticación de productos y servicios innovadores y sostenibles,1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
27,"Prototipado de productos, procesos y servicios innovadores",1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
28,Diseño de productos y servicios sostenibles.,1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
29,"Producto mínimo Viable, Ventas y tracción",1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
31,Marca e identidad corporativa,1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
32,Desarrollo de experiencia del cliente.,1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
33,Proceso de Validación idea y modelo de negocio para la creación de una propuesta de valor orientada a la sostenibilidad,1,Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:45 GMT-0500 (Colombia Standard Time)
34,Habilidades de negociación,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
35,Equipo de trabajo,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
37,Estrategia comercial,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
38,Diseño y estructuración de Modelo de ingresos,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
39,Estructuración Financiera,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
40,Consultoría Legal,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
41,Fundamentos legales,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
42,Propiedad Intelectual,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
43,Estrategia propiedad intelectual,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
44,Vigilancia tecnológica y propiedad intelectual,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
45,Fundamentos de las tecnologías de la información,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
46,Fortalecimiento de conocimiento para rondas de inversión en etapa temprana,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
47,Entrenamiento y clínica de Pitch para ventas,1,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
48,Diseño para la sofisticación de productos y servicios innovadores,2,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
49,Entendimiento del entorno interno y externo y plan estratégico,2,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
50,Proyecciones y Valoración financiera,2,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
51,Estrategia legal,2,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
52,Marketing y estrategia de crecimiento,2,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
53,Cultura empresarial,2,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
54,protección de intereses legales y minimización de riesgos,2,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
55,Estrategia financiera,2,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
56,Estrategia propiedad intelectual,2,Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:46 GMT-0500 (Colombia Standard Time)
57,"Prototipado de productos, procesos y servicios innovadores",2,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
58,Taller práctico de comercio electrónico y canales de venta digital,2,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
59,Mejoramiento tecnológico,2,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
61,Certificación en gestión de procesos/productos,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
62,Optimización de la gestión de clientes / proveedores a través de las TIC,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
63,Sofisticación de productos para la Internacionalización empresarial,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
64,Comercialización,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
66,Liderazgo,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
67,Estrategias de monetización,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
69,Estrategia de Mercadeo y Comercial,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
70,Marketing digital,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
72,Derechos de autor,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
73,Negociación,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
74,Internacionalización,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
75,Estrategia comercial,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
76,Entrenamiento y clínica de Pitch para Inversión,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
77,Valoración financiera para busqueda de inversión externa,3,Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time),Fri May 16 2025 18:54:47 GMT-0500 (Colombia Standard Time)
